Back,Back
"Create Import","Create Import"
"Check Data","Check Data"
"Delete Profile","Delete Profile"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Export All Orders","Export All Orders"
label,label
"No existing profiles","No existing profiles"
"Save Profile","Save Profile"
"The export file has been deleted.","The export file has been deleted."
"We can't find a export to delete.","We can't find a export to delete."
"No file","No file"
"Export Orders","Export Orders"
History,History
"This profile no longer exists.","This profile no longer exists."
"Profile was exported!","Profile was exported!"
"Something went wrong while export profile.","Something went wrong while export profile."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Import file","Import file"
Import,Import
"Total size of import error log files exceeds configured limit.","Total size of import error log files exceeds configured limit."
"Import History","Import History"
"Profile no longer exists.","Profile no longer exists."
"Profile was imported!","Profile was imported!"
"Profile was imported with errors","Profile was imported with errors"
"... see more in error log","... see more in error log"
"Something went wrong while saving the import.","Something went wrong while saving the import."
"File is valid! To start import process press ""Create Import"" button","File is valid! To start import process press ""Create Import"" button"
"The profile has been deleted.","The profile has been deleted."
"We can't find a profile to delete.","We can't find a profile to delete."
"Edit Profile","Edit Profile"
"New Profile","New Profile"
Profiles,Profiles
"You begin to export the profile. You can see the export status <a href=""%1"">here</a>.","You begin to export the profile. You can see the export status <a href=""%1"">here</a>."
"Something went wrong while exporting the profile.","Something went wrong while exporting the profile."
Profile,Profile
"You saved the profile.","You saved the profile."
"Something went wrong while saving the profile.","Something went wrong while saving the profile."
"%1 (Default)","%1 (Default)"
"Unable to open file '%1'.","Unable to open file '%1'."
"Container '%1' is not supported.","Container '%1' is not supported."
"Container '%1' must implement ContainerInterface.","Container '%1' must implement ContainerInterface."
"Filter '%1' must implement DataFilterInterface","Filter '%1' must implement DataFilterInterface"
"Credit memo items are missing","Credit memo items are missing"
"Credit memo have not Increment Id","Credit memo have not Increment Id"
"Credit memo #%1 already exist.","Credit memo #%1 already exist."
"Invoice items are missing","Invoice items are missing"
"Invoice have not Increment Id","Invoice have not Increment Id"
"Invoice #%1 already exist.","Invoice #%1 already exist."
"Order without items cannot be imported.","Order without items cannot be imported."
"Order without payment cannot be imported.","Order without payment cannot be imported."
"An order with a missed address information can not be imported in Magento. Please add these fields with values for them into your import file: postcode, lastname, street, city, email, telephone, country_id, firstname, address_type","An order with a missed address information can not be imported in Magento. Please add these fields with values for them into your import file: postcode, lastname, street, city, email, telephone, country_id, firstname, address_type"
"Some orders will not be imported because they are missing the increment_id value (order number).","Some orders will not be imported because they are missing the increment_id value (order number)."
"Order #%1 already exist.","Order #%1 already exist."
"Shipment items are missing","Shipment items are missing"
"Shipment have not Increment Id","Shipment have not Increment Id"
"Shipment #%1 already exist.","Shipment #%1 already exist."
"Entity type '%1' is not supported.","Entity type '%1' is not supported."
"Entity '%1' must implement EntityTypeInterface.","Entity '%1' must implement EntityTypeInterface."
"Could not save the profile: %1","Could not save the profile: %1"
"CMS Profile with id ""%1"" does not exist.","CMS Profile with id ""%1"" does not exist."
"Could not delete the profile: %1","Could not delete the profile: %1"
Download,Download
"Force Run","Force Run"
Delete,Delete
"Delete ${ $.$data.filename }","Delete ${ $.$data.filename }"
"Are you sure you wan't to delete a ${ $.$data.filename } record?","Are you sure you wan't to delete a ${ $.$data.filename } record?"
"Download Error Log","Download Error Log"
"Successfully Imported","Successfully Imported"
"View Profile","View Profile"
"All Store Views","All Store Views"
"Credit Memos","Credit Memos"
"Credit Memo Comments","Credit Memo Comments"
"Credit Memo Items","Credit Memo Items"
"Manual export from order grid","Manual export from order grid"
"Automatically after checkout","Automatically after checkout"
"Automatically once invoices for all products in an order are created","Automatically once invoices for all products in an order are created"
"In queue","In queue"
Processing,Processing
Complete,Complete
"XML File","XML File"
"Multiline CSV / Tab Separated","Multiline CSV / Tab Separated"
"Append Complex Data","Append Complex Data"
"Replace Existing Complex Data","Replace Existing Complex Data"
"CSV / Tab Separated","CSV / Tab Separated"
Invoices,Invoices
"Invoice Comments","Invoice Comments"
"Invoice Items","Invoice Items"
"Order Items","Order Items"
"Order Addresses","Order Addresses"
"Order Payments","Order Payments"
"Order Payment Transactions","Order Payment Transactions"
"Order Status History","Order Status History"
Shipments,Shipments
"Shipment Comments","Shipment Comments"
"Shipped Items","Shipped Items"
"Shipments Tracking Information","Shipments Tracking Information"
"Local Server","Local Server"
"Remote FTP","Remote FTP"
Email,Email
Edit,Edit
"Delete ${ $.$data.name }","Delete ${ $.$data.name }"
"Are you sure you wan't to delete a ${ $.$data.name } record?","Are you sure you wan't to delete a ${ $.$data.name } record?"
View,View
"Validation Results","Validation Results"
"Order Export","Order Export"
"Aitoc Export Profiles","Aitoc Export Profiles"
"Aitoc Export History","Aitoc Export History"
"Aitoc Import Profiles","Aitoc Import Profiles"
"Orders Import Export","Orders Import Export"
"General Settings","General Settings"
"Bulk Export/Import Count","Bulk Export/Import Count"
"Import Error Log Disk Space Limit (Mb)","Import Error Log Disk Space Limit (Mb)"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
"Profile Name","Profile Name"
Filename,Filename
"Exported At","Exported At"
Status,Status
"Import File","Import File"
"Try to import orders to corresponding store views","Try to import orders to corresponding store views"
"Store Views","Store Views"
"Create customers based on Billing/Shipping Address","Create customers based on Billing/Shipping Address"
"Import Behavior","Import Behavior"
"Data Format","Data Format"
"Entity Type","Entity Type"
Type,Type
"From Magento 1","From Magento 1"
"Value Delimiter","Value Delimiter"
"Enclose Values In","Enclose Values In"
"Import New File","Import New File"
Filenames,Filenames
Created,Created
Processed,Processed
Imported,Imported
Results/Actions,Results/Actions
"Profile Information","Profile Information"
"Profile Title","Profile Title"
"File Information","File Information"
"File Prefix","File Prefix"
"Order export date and time will be added to this file name to avoid file overwriting.","Order export date and time will be added to this file name to avoid file overwriting."
"Local Path","Local Path"
"Absolute path or Relative to Magento install root, ex. pub/export.","Absolute path or Relative to Magento install root, ex. pub/export."
"FTP Host[:Port]","FTP Host[:Port]"
Username,Username
Password,Password
"FTP Path","FTP Path"
"Passive Mode","Passive Mode"
"Send To","Send To"
"Please note: big files (over 5Mb) can fail to attach to emails due to email servers architecture.","Please note: big files (over 5Mb) can fail to attach to emails due to email servers architecture."
"Email Sender","Email Sender"
"Email Template","Email Template"
"Automatic export settings","Automatic export settings"
"Export order","Export order"
"Order Entities","Order Entities"
Orders,Orders
"Order Fields","Order Fields"
Fields,Fields
"Add New Profile","Add New Profile"
"Export Selected Orders","Export Selected Orders"
